,AAPL,IBM,XOM,GOOG,cash,sum
2011-01-10,1704950.0,0.0,0.0,0.0,-704950.0,1000000.0
2011-01-11,1700900.0,0.0,0.0,0.0,-704950.0,995950.0
2011-01-12,1714750.0,0.0,0.0,0.0,-704950.0,1009800.0
2011-01-13,0.0,578200.0,0.0,0.0,437850.0,1016050.0
2011-01-14,0.0,582800.0,0.0,0.0,437850.0,1020650.0
2011-01-18,0.0,585320.0,0.0,0.0,437850.0,1023170.0
2011-01-19,0.0,604880.0,0.0,0.0,437850.0,1042730.0
2011-01-20,0.0,605320.0,0.0,0.0,437850.0,1043170.0
2011-01-21,0.0,604160.0,0.0,0.0,437850.0,1042010.0
2011-01-24,0.0,620200.0,0.0,0.0,437850.0,1058050.0
2011-01-25,0.0,627240.0,0.0,0.0,437850.0,1065090.0
2011-01-26,0.0,625680.0,0.0,616500.0,-178650.0,1063530.0
2011-01-27,0.0,625800.0,0.0,616790.0,-178650.0,1063940.0
2011-01-28,0.0,618560.0,0.0,600990.0,-178650.0,1040900.0
2011-01-31,0.0,629400.0,0.0,600360.0,-178650.0,1051110.0
2011-02-01,0.0,635480.0,0.0,611040.0,-178650.0,1067870.0
2011-02-02,0.0,634480.0,-319840.0,612000.0,141190.0,1067830.0
2011-02-03,0.0,635360.0,-319960.0,610150.0,141190.0,1066740.0
2011-02-04,0.0,637200.0,-319360.0,610980.0,141190.0,1070010.0
2011-02-07,0.0,640360.0,-321840.0,614290.0,141190.0,1074000.0
2011-02-08,0.0,647720.0,-319880.0,618380.0,141190.0,1087410.0
2011-02-09,0.0,642240.0,-318200.0,616500.0,141190.0,1081730.0
2011-02-10,0.0,640080.0,0.0,616440.0,-179530.0,1076990.0
2011-02-11,0.0,639120.0,0.0,624500.0,-179530.0,1084090.0
2011-02-14,0.0,636680.0,0.0,628150.0,-179530.0,1085300.0
2011-02-15,0.0,635200.0,0.0,624150.0,-179530.0,1079820.0
2011-02-16,0.0,637360.0,0.0,624220.0,-179530.0,1082050.0
2011-02-17,0.0,640640.0,0.0,625260.0,-179530.0,1086370.0
2011-02-18,0.0,643000.0,0.0,630080.0,-179530.0,1093550.0
2011-02-22,0.0,631720.0,0.0,610210.0,-179530.0,1062400.0
2011-02-23,0.0,624800.0,0.0,611320.0,-179530.0,1056590.0
2011-02-24,0.0,627120.0,0.0,608820.0,-179530.0,1056410.0
2011-02-25,0.0,633000.0,0.0,610040.0,-179530.0,1063510.0
2011-02-28,0.0,631440.0,0.0,613400.0,-179530.0,1065310.0
2011-03-01,0.0,624000.0,0.0,600760.0,-179530.0,1045230.0
2011-03-02,0.0,624720.0,0.0,600790.0,-179530.0,1045980.0
2011-03-03,0.0,0.0,0.0,0.0,1067710.0,1067710.0
